"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"12357";"Berlin";1974;"heizoel";2004;300;34000,04;136;"Berlin, Stadt";"SFH"
"12527";"Berlin";1939;"erdgas";2004;180;18296,1;121,97;"Berlin, Stadt";"SFH"
"12277";"Berlin";1936;"heizoel";2004;144;22176;184,8;"Berlin, Stadt";"SFH"
"12683";"Berlin";1995;"erdgas";2003;157,2;12942,9;98,8;"Berlin, Stadt";"SFH"
"10179";"Berlin";1900;"erdgas";2004;300;17091;68,36;"Berlin, Stadt";"SFH"
"12357";"Berlin";1936;"heizoel";2004;120;25000,01;250;"Berlin, Stadt";"SFH"
"12249";"Berlin";1935;"heizoel";2004;162;34999,98;259,26;"Berlin, Stadt";"SFH"
"10437";"Berlin";1965;"erdgas";2003;156;4611,6;35,47;"Berlin, Stadt";"SFH"
"12527";"Berlin";1994;"heizoel";2003;120;15000,05;150;"Berlin, Stadt";"SFH"
"14165";"Berlin";1963;"heizoel";2004;152,4;36999,95;291,34;"Berlin, Stadt";"SFH"
"12359";"Berlin";1927;"erdgas";2004;120;7353,9;73,54;"Berlin, Stadt";"SFH"
"12355";"Berlin";1986;"heizoel";2004;360;52000;173,33;"Berlin, Stadt";"SFH"
"13591";"Berlin";1934;"erdgas";2004;156;34047,9;261,91;"Berlin, Stadt";"SFH"
"12683";"Berlin";1940;"erdgas";2004;180;10498,9;69,99;"Berlin, Stadt";"SFH"
"12099";"Berlin";1955;"erdgas";2004;56,44;8977,5;190,89;"Berlin, Stadt";"SFH"
"13629";"Berlin";1927;"erdgas";2004;76,8;9000;140,63;"Berlin, Stadt";"SFH"
"12355";"Berlin";1963;"heizoel";2002;192;50000,03;312,5;"Berlin, Stadt";"SFH"
"13503";"Berlin";1997;"heizoel";2003;192;22000;137,5;"Berlin, Stadt";"SFH"
"12623";"Berlin";1996;"erdgas";2003;132;11400;103,64;"Berlin, Stadt";"SFH"
"14089";"Berlin";1986;"erdgas";2004;198;23004;139,42;"Berlin, Stadt";"SFH"
"13503";"Berlin";1981;"heizoel";2004;168;34999,98;250;"Berlin, Stadt";"SFH"
"12683";"Berlin";1991;"heizoel";2004;192;39999,96;250;"Berlin, Stadt";"SFH"
"14109";"Berlin";1911;"heizoel";2004;420;59999,99;171,43;"Berlin, Stadt";"SFH"
"12524";"Berlin";1928;"erdgas";2003;176,4;39000,1;265,31;"Berlin, Stadt";"SFH"
"13503";"Berlin";1976;"heizoel";2003;180;34999,98;233,33;"Berlin, Stadt";"SFH"
"12683";"Berlin";1999;"erdgas";2003;68,4;13950;244,74;"Berlin, Stadt";"SFH"
"14163";"Berlin";1897;"heizoel";2004;336;56999,98;203,57;"Berlin, Stadt";"SFH"
"13125";"Berlin";2005;"erdgas";2004;360;28350;94,5;"Berlin, Stadt";"SFH"
"12526";"Berlin";2001;"erdgas";2003;120;10982,7;109,83;"Berlin, Stadt";"SFH"
"13467";"Berlin";1983;"heizoel";2004;180;26999,99;180;"Berlin, Stadt";"SFH"
"10318";"Berlin";2000;"erdgas";2003;230,4;20367;106,08;"Berlin, Stadt";"SFH"
"12683";"Berlin";1998;"erdgas";2004;150;12000;96;"Berlin, Stadt";"SFH"
"12683";"Berlin";1940;"heizoel";2003;92,7;24260,04;314,05;"Berlin, Stadt";"SFH"
"13469";"Berlin";1988;"heizoel";2003;144;25000,01;208,33;"Berlin, Stadt";"SFH"
"12209";"Berlin";1969;"heizoel";2004;180;26189,96;174,6;"Berlin, Stadt";"SFH"
"13591";"Berlin";1939;"erdgas";2003;216;30843,9;171,36;"Berlin, Stadt";"SFH"
"14089";"Berlin";1936;"heizoel";2003;216;47999,95;266,67;"Berlin, Stadt";"SFH"
"12524";"Berlin";1980;"heizoel";2002;144;20000,03;166,67;"Berlin, Stadt";"SFH"
"12279";"Berlin";1900;"heizoel";2004;204;20000,03;117,65;"Berlin, Stadt";"SFH"
"12557";"Berlin";1994;"heizoel";2003;138;26000,05;226,09;"Berlin, Stadt";"SFH"
"13437";"Berlin";1983;"heizoel";2004;192;30000;187,5;"Berlin, Stadt";"SFH"
"13089";"Berlin";2000;"erdgas";2004;180;18925,2;126,17;"Berlin, Stadt";"SFH"
"13595";"Berlin";1995;"erdgas";2003;120;5400;54;"Berlin, Stadt";"SFH"
"12109";"Berlin";1950;"heizoel";2003;300;59999,99;240;"Berlin, Stadt";"SFH"
"12349";"Berlin";2001;"erdgas";2002;192;19372,35;121,08;"Berlin, Stadt";"SFH"
"14165";"Berlin";1922;"heizoel";2003;150;36999,95;296;"Berlin, Stadt";"SFH"
"13158";"Berlin";2001;"erdgas";2004;140,4;9113,4;77,89;"Berlin, Stadt";"SFH"
"14165";"Berlin";1963;"heizoel";2003;144;25000,01;208,33;"Berlin, Stadt";"SFH"
"13509";"Berlin";1960;"erdgas";2002;120;3825;38,25;"Berlin, Stadt";"SFH"
"12307";"Berlin";1977;"erdgas";2004;144;22500;187,5;"Berlin, Stadt";"SFH"
"13467";"Berlin";1978;"heizoel";2004;192;32500,04;203,13;"Berlin, Stadt";"SFH"
"12524";"Berlin";1956;"erdgas";2004;120;30150;301,5;"Berlin, Stadt";"SFH"
"12527";"Berlin";1970;"erdgas";2004;144;36000;300;"Berlin, Stadt";"SFH"
"12589";"Berlin";1998;"erdgas";2004;300;33075;132,3;"Berlin, Stadt";"SFH"
"14197";"Berlin";1920;"erdgas";2004;204;34150;200,88;"Berlin, Stadt";"SFH"
"13509";"Berlin";1960;"heizoel";2004;212,4;30000;169,49;"Berlin, Stadt";"SFH"
"12555";"Berlin";1912;"erdgas";2004;288;28350;118,13;"Berlin, Stadt";"SFH"
"10437";"Berlin";1965;"erdgas";2004;156;4838,4;37,22;"Berlin, Stadt";"SFH"
"12623";"Berlin";1994;"erdgas";2004;118,8;15881,4;160,42;"Berlin, Stadt";"SFH"
"13469";"Berlin";1979;"heizoel";2004;168;22000;157,14;"Berlin, Stadt";"SFH"
"12277";"Berlin";1954;"heizoel";2004;270;34000,04;151,11;"Berlin, Stadt";"SFH"
"13467";"Berlin";1928;"erdgas";2003;192;34766,6;217,29;"Berlin, Stadt";"SFH"
"12526";"Berlin";1996;"erdgas";2004;150;20500;164;"Berlin, Stadt";"SFH"
"10319";"Berlin";1938;"erdgas";2002;156;43470;334,38;"Berlin, Stadt";"SFH"
