plz;ort;bundesland;FW ja/nein?
91347;Aufseß;Bayern;keine fernwaerme
79424;Auggen;Baden-Württemberg;keine fernwaerme
86150;Augsburg;Bayern;fernwaerme
86152;Augsburg;Bayern;fernwaerme
86153;Augsburg;Bayern;fernwaerme
86154;Augsburg;Bayern;fernwaerme
86156;Augsburg;Bayern;fernwaerme
86157;Augsburg;Bayern;fernwaerme
86159;Augsburg;Bayern;fernwaerme
86161;Augsburg;Bayern;fernwaerme
86163;Augsburg;Bayern;fernwaerme
86165;Augsburg;Bayern;fernwaerme
86167;Augsburg;Bayern;fernwaerme
86169;Augsburg;Bayern;fernwaerme
86179;Augsburg;Bayern;fernwaerme
86199;Augsburg;Bayern;fernwaerme
32832;Augustdorf;Nordrhein-Westfalen;keine fernwaerme
9573;Augustusburg;Sachsen;keine fernwaerme
31553;Auhagen;Niedersachsen;keine fernwaerme
86736;Auhausen;Bayern;keine fernwaerme
84072;Au in der Hallertau;Bayern;keine fernwaerme
24613;Aukrug;Schleswig-Holstein;fernwaerme
88326;Aulendorf;Baden-Württemberg;keine fernwaerme
65582;Aull;Rheinland-Pfalz;keine fernwaerme
7955;Auma-Weidatal;Thüringen;keine fernwaerme
21521;Aumühle;Schleswig-Holstein;keine fernwaerme
97717;Aura a.d.Saale;Bayern;keine fernwaerme
91589;Aurach;Bayern;keine fernwaerme
91086;Aurachtal;Bayern;keine fernwaerme
97773;Aura im Sinngrund;Bayern;keine fernwaerme
26603;Aurich;Niedersachsen;fernwaerme
26605;Aurich;Niedersachsen;keine fernwaerme
26607;Aurich;Niedersachsen;keine fernwaerme
24975;Ausacker;Schleswig-Holstein;keine fernwaerme
39393;Ausleben;Sachsen-Anhalt;keine fernwaerme
94532;Außernzell;Bayern;keine fernwaerme
25548;Auufer;Schleswig-Holstein;keine fernwaerme
54664;Auw an der Kyll;Rheinland-Pfalz;keine fernwaerme
54597;Auw bei Prüm;Rheinland-Pfalz;keine fernwaerme
25927;Aventoft;Schleswig-Holstein;keine fernwaerme
25715;Averlak;Schleswig-Holstein;keine fernwaerme
27729;Axstedt;Niedersachsen;keine fernwaerme
85653;Aying;Bayern;keine fernwaerme
54441;Ayl;Rheinland-Pfalz;keine fernwaerme
86482;Aystetten;Bayern;keine fernwaerme
18586;Baabe;Mecklenburg-Vorpommern;fernwaerme
86674;Baar;Bayern;keine fernwaerme
56729;Baar;Rheinland-Pfalz;keine fernwaerme
85107;Baar-Ebenhausen;Bayern;keine fernwaerme
64832;Babenhausen;Hessen;keine fernwaerme
87727;Babenhausen;Bayern;keine fernwaerme
83547;Babensham;Bayern;keine fernwaerme
93090;Bach an der Donau;Bayern;keine fernwaerme
55422;Bacharach;Rheinland-Pfalz;keine fernwaerme
57610;Bachenberg;Rheinland-Pfalz;keine fernwaerme
96528;Bachfeld;Thüringen;keine fernwaerme
89429;Bachhagel;Bayern;keine fernwaerme
89431;Bächingen a.d.Brenz;Bayern;keine fernwaerme
71522;Backnang;Baden-Württemberg;fernwaerme
93077;Bad Abbach;Bayern;fernwaerme
83043;Bad Aibling;Bayern;keine fernwaerme
95680;Bad Alexandersbad;Bayern;keine fernwaerme
34454;Bad Arolsen;Hessen;fernwaerme
82435;Bad Bayersoien;Bayern;keine fernwaerme
79415;Bad Bellingen;Baden-Württemberg;keine fernwaerme
14806;Bad Belzig;Brandenburg;fernwaerme
48455;Bad Bentheim;Niedersachsen;fernwaerme
49635;Badbergen;Niedersachsen;keine fernwaerme
76887;Bad Bergzabern;Rheinland-Pfalz;keine fernwaerme
99438;Bad Berka;Thüringen;fernwaerme
57319;Bad Berleburg;Nordrhein-Westfalen;keine fernwaerme
