"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
68307;"Baden-Württemberg";1973;"heizoel";2007;394,8;64592,64;196,33;"Mannheim";"MFH"
68309;"Baden-Württemberg";2008;"waerme";2015;1491,6;66410;53,43;"Mannheim";"MFH"
68259;"Baden-Württemberg";2004;"erdgas";2006;721,99;58140;96,64;"Mannheim";"MFH"
68219;"Baden-Württemberg";1995;"heizoel";2005;420;80640;230,4;"Mannheim";"MFH"
68309;"Baden-Württemberg";1948;"erdgas";2007;300;29250;117;"Mannheim";"MFH"
68259;"Baden-Württemberg";1971;"heizoel";2010;1012,8;141180,48;167,28;"Mannheim";"MFH"
68159;"Baden-Württemberg";1920;"waerme";2004;672;58000;103,57;"Mannheim";"MFH"
68167;"Baden-Württemberg";1985;"erdgas";2007;771,72;111060;172,69;"Mannheim";"MFH"
68165;"Baden-Württemberg";1950;"waerme";2012;603,6;88100;175,15;"Mannheim";"MFH"
68163;"Baden-Württemberg";1927;"waerme";2007;3360;223000;79,64;"Mannheim";"MFH"
68305;"Baden-Württemberg";1955;"waerme";2008;437,88;60570;165,99;"Mannheim";"MFH"
68219;"Baden-Württemberg";1990;"erdgas";2004;748,14;80434,8;129,02;"Mannheim";"MFH"
68307;"Baden-Württemberg";2001;"erdgas";2006;336;25745,4;91,95;"Mannheim";"MFH"
68163;"Baden-Württemberg";1954;"waerme";2009;3889,2;273000;84,23;"Mannheim";"MFH"
